".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"c2n_leaf",38821,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,2579,18.858753512328,"SE",0.817691428467686,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.55,0.11
"c2n_leaf",38826,422,637,1326,"Ambient",2002-01-01 00:00:00,"00:00:00",NA,1069,17.8686322548476,"SE",0.666710921769573,3,"leafN",1,11.85,42.616667,TRUE,TRUE,2.69,0.1
"c2n_leaf",38827,422,637,1327,"Elevated",2002-01-01 00:00:00,"00:00:00",NA,1069,21.2993182837249,"SE",1.1400582047333,3,"leafN",1,11.85,42.616667,FALSE,TRUE,2.26,0.12
"c2n_leaf",37701,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,23.8552364797158,NA,4.89745982993509,9,"leafN",6,NA,NA,TRUE,NA,2.0862,0.3784
"c2n_leaf",37722,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,1072,3.79678753684097,NA,13778.3152134205,9,"leafN",8,NA,NA,TRUE,NA,3.0933,0.9431
"c2n_leaf",37743,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,1072,12.9986961299292,NA,1.07422233058916,9,"leafN",9,NA,NA,TRUE,NA,3.7174,0.3012
"c2n_leaf",30919,160,NA,NA,NA,NA,"00:00:00",NA,1080,18.4615384615385,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.6,NA
"c2n_leaf",30967,160,NA,NA,NA,NA,"00:00:00",NA,39636,19.1616766467066,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.505,NA
"c2n_leaf",30975,160,NA,NA,NA,NA,"00:00:00",NA,1076,19.2,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.5,NA
"c2n_leaf",31033,160,NA,NA,NA,NA,"00:00:00",NA,1072,19.9170124481328,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.41,NA
"c2n_leaf",31037,160,NA,NA,NA,NA,"00:00:00",NA,1077,19.9750312109863,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.403,NA
"c2n_leaf",31041,160,NA,NA,NA,NA,"00:00:00",NA,1072,20,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.4,NA
"c2n_leaf",31074,160,NA,NA,NA,NA,"00:00:00",NA,1072,20.3389830508475,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.36,NA
"c2n_leaf",31084,160,NA,NA,NA,NA,"00:00:00",NA,1069,20.4255319148936,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.35,NA
"c2n_leaf",31179,160,NA,NA,NA,NA,"00:00:00",NA,1080,21.7194570135747,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.21,NA
"c2n_leaf",31195,160,NA,NA,NA,NA,"00:00:00",NA,1080,21.8181818181818,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.2,NA
"c2n_leaf",31227,160,NA,NA,NA,NA,"00:00:00",NA,39636,22.3255813953488,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2.15,NA
"c2n_leaf",31373,160,NA,NA,NA,NA,"00:00:00",NA,1070,24,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,2,NA
"c2n_leaf",31418,160,NA,NA,NA,NA,"00:00:00",NA,1080,24.7422680412371,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,1.94,NA
"c2n_leaf",31460,160,NA,NA,NA,NA,"00:00:00",NA,1070,25.2631578947368,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,1.9,NA
"c2n_leaf",31491,160,NA,NA,NA,NA,"00:00:00",NA,1080,25.7510729613734,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,1.864,NA
"c2n_leaf",31689,160,NA,NA,NA,NA,"00:00:00",NA,1069,28.9156626506024,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,1.66,NA
"c2n_leaf",31690,160,NA,NA,NA,NA,"00:00:00",NA,2809,28.9156626506024,NA,NA,NA,"leafN",NA,NA,NA,NA,NA,1.66,NA
"c2n_leaf",44082,563,863,1675,"observational",NA,"00:00:00",NA,2860,11.6983535362722,"SE",0.212739544378257,3,"leafN",NA,175.618511,-40.348268,TRUE,TRUE,4.1045,0.0746
"c2n_leaf",44733,603,796,1779,"observational",NA,"00:00:00",NA,1080,20.8808276172521,NA,2.03557715399792,5,"leafN",NA,-71.288077,44.06464,TRUE,FALSE,2.32,0.22
"c2n_leaf",24344,97,441,129,"Unfertilized",1999-10-15 00:00:00,"00:00:00",NA,2860,14.6341463414634,NA,NA,NA,"leafN",10,-95.78,47.9,TRUE,NA,3.28,NA
