".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"SLA",8482,196,282,1,"observational",1989-06-10,"00:00:00",32,938,18.2,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,18.2,NA
"SLA",8483,196,282,1,"observational",1989-06-21,"00:00:00",32,938,22.7,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,22.7,NA
"SLA",8484,196,282,1,"observational",1989-06-21,"00:00:00",32,938,19.2,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,19.2,NA
"SLA",8485,196,282,1,"observational",1989-06-21,"00:00:00",32,938,19.2,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,19.2,NA
"SLA",8486,196,282,1,"observational",1989-06-21,"00:00:00",32,938,17.2,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,17.2,NA
"SLA",8487,196,282,1,"observational",1989-06-21,"00:00:00",32,938,18.5,NA,NA,4,"SLA",6,-80.42,37.18,TRUE,FALSE,18.5,NA
"SLA",25671,294,456,913,"Monoculture",1997-08-01,"00:00:00",NA,938,10.3,"SE",0.8,3,"SLA",8,-93.18,45.4,TRUE,FALSE,10.3,0.8
"c2n_leaf",20095,199,249,858,NA,2009-10-10,"00:00:00",NA,938,52.1818,NA,NA,1,"c2n_leaf",10,NA,NA,NA,NA,52.1818,NA
"c2n_leaf",20096,199,249,858,NA,2009-10-10,"00:00:00",NA,938,30.1333,NA,NA,1,"c2n_leaf",10,NA,NA,NA,NA,30.1333,NA
"c2n_leaf",26028,294,456,913,"Monoculture",1997-08-20,"00:00:00",NA,938,27.8,"SE",0.03,3,"c2n_leaf",8,-93.18,45.4,TRUE,FALSE,27.8,0.03
"c2n_leaf",3817,188,273,662,"observational",2004-08-31,"00:00:00",3,938,38.4221733221673,"SE",0.923317138457703,4,"leafN",8,-93.98,35.08,TRUE,FALSE,1.25,0.03
"c2n_leaf",3818,188,273,662,"observational",2005-10-15,"00:00:00",3,938,32.0701426181993,"SE",1.50573304740263,4,"leafN",10,-93.98,35.08,TRUE,FALSE,1.5,0.07
"c2n_leaf",10927,188,273,662,"observational",2004-08-31,"00:00:00",3,938,38.4221733221673,"SE",0.923317138457703,4,"leafN",8,-93.98,35.08,TRUE,FALSE,1.25,0.03
"c2n_leaf",10928,188,273,662,"observational",2005-10-15,"00:00:00",3,938,32.0701426181993,"SE",1.50573304740263,4,"leafN",10,-93.98,35.08,TRUE,FALSE,1.5,0.07
"c2n_leaf",220,42,72,733,"Switch1",1995-06-23,"00:00:00",3,938,57.8313253012048,NA,NA,4,"leafN",6,-97.35,31.05,TRUE,FALSE,0.83,NA
